SECCAO,METODO,CONDUTORES,CORRENTE
0.5,A1,2,7
0.5,A1,3,7
0.5,A2,2,7
0.5,A2,3,7
0.5,B1,2,9
0.5,B1,3,8
0.5,B2,2,9
0.5,B2,3,8
0.5,C,2,10
0.5,C,3,9
0.5,D,2,12
0.5,D,3,10
0.75,A1,2,9
0.75,A1,3,9
0.75,A2,2,9
0.75,A2,3,9
0.75,B1,2,11
0.75,B1,3,10
0.75,B2,2,11
0.75,B2,3,10
0.75,C,2,13
0.75,C,3,11
0.75,D,2,15
0.75,D,3,12
1,A1,2,11
1,A1,3,10
1,A2,2,11
1,A2,3,10
1,B1,2,14
1,B1,3,12
1,B2,2,13
1,B2,3,12
1,C,2,15
1,C,3,14
1,D,2,18
1,D,3,15
1.5,A1,2,14.5
1.5,A1,3,13.5
1.5,A2,2,14
1.5,A2,3,13
1.5,B1,2,17.5
1.5,B1,3,15.5
1.5,B2,2,16.5
1.5,B2,3,15
1.5,C,2,19.5
1.5,C,3,17.5
1.5,D,2,22
1.5,D,3,18
2.5,A1,2,19.5
2.5,A1,3,18
2.5,A2,2,18.5
2.5,A2,3,17.5
2.5,B1,2,24
2.5,B1,3,21
2.5,B2,2,23
2.5,B2,3,20
2.5,C,2,27
2.5,C,3,24
2.5,D,2,29
2.5,D,3,24
4,A1,2,26
4,A1,3,24
4,A2,2,25
4,A2,3,23
4,B1,2,32
4,B1,3,28
4,B2,2,30
4,B2,3,27
4,C,2,36
4,C,3,32
4,D,2,38
4,D,3,31
6,A1,2,34
6,A1,3,31
6,A2,2,32
6,A2,3,29
6,B1,2,41
6,B1,3,36
6,B2,2,38
6,B2,3,34
6,C,2,46
6,C,3,41
6,D,2,47
6,D,3,39
10,A1,2,46
10,A1,3,42
10,A2,2,43
10,A2,3,39
10,B1,2,57
10,B1,3,50
10,B2,2,52
10,B2,3,46
10,C,2,63
10,C,3,57
10,D,2,63
10,D,3,52
16,A1,2,61
16,A1,3,56
16,A2,2,57
16,A2,3,52
16,B1,2,76
16,B1,3,68
16,B2,2,69
16,B2,3,62
16,C,2,85
16,C,3,76
16,D,2,81
16,D,3,67
25,A1,2,80
25,A1,3,73
25,A2,2,75
25,A2,3,68
25,B1,2,101
25,B1,3,89
25,B2,2,90
25,B2,3,80
25,C,2,112
25,C,3,96
25,D,2,104
25,D,3,86
35,A1,2,99
35,A1,3,89
35,A2,2,92
35,A2,3,83
35,B1,2,125
35,B1,3,110
35,B2,2,111
35,B2,3,99
35,C,2,138
35,C,3,119
35,D,2,125
35,D,3,103
50,A1,2,119
50,A1,3,108
50,A2,2,110
50,A2,3,99
50,B1,2,151
50,B1,3,134
50,B2,2,133
50,B2,3,118
50,C,2,168
50,C,3,144
50,D,2,148
50,D,3,122
